PHYSICAL_CITY,year,Quarter,how_many,avg_sale_price,avg_sqft
MORRISVILLE,2020,2,79,365860.759493670886,2326.8987341772151899
MORRISVILLE,2020,3,119,363600.840336134454,2213.3361344537815126
MORRISVILLE,2020,4,94,373240.425531914894,2266.7446808510638298
NEW HILL,2020,1,70,418707.142857142857,2708.1571428571428571
NEW HILL,2020,2,60,440466.666666666667,2788.5333333333333333
NEW HILL,2020,3,66,433295.454545454545,2815.1060606060606061
NEW HILL,2020,4,65,477253.846153846154,3106.8769230769230769
RALEIGH,2020,1,1452,349770.992424242424,2210.4194214876033058
RALEIGH,2020,2,1775,355713.335211267606,2207.6039436619718310
RALEIGH,2020,3,2117,374745.536136041568,2242.7609825224374114
RALEIGH,2020,4,2049,372181.942410932162,2201.8311371400683260
ROLESVILLE,2020,1,38,352684.210526315789,2673.0263157894736842
ROLESVILLE,2020,2,74,370570.270270270270,2801.5540540540540541
ROLESVILLE,2020,3,75,369913.333333333333,2745.8666666666666667
ROLESVILLE,2020,4,78,367512.820512820513,2554.6666666666666667
WAKE FOREST,2020,1,357,377728.571428571429,2673.3249299719887955
WAKE FOREST,2020,2,458,397711.572052401747,2728.2423580786026201
WAKE FOREST,2020,3,467,408933.832976445396,2773.6680942184154176
WAKE FOREST,2020,4,480,419277.708333333333,2747.6062500000000000
WENDELL,2020,1,93,262721.505376344086,1970.8602150537634409
WENDELL,2020,2,136,291871.323529411765,2040.3970588235294118
WENDELL,2020,3,147,286519.047619047619,2017.3741496598639456
WENDELL,2020,4,178,286593.258426966292,1983.3258426966292135
WILLOW SPRING,2020,1,36,287791.666666666667,2204.1388888888888889
WILLOW SPRING,2020,2,50,315570.000000000000,2347.7600000000000000
WILLOW SPRING,2020,3,52,302713.461538461538,2240.6923076923076923
WILLOW SPRING,2020,4,53,318962.264150943396,2344.3207547169811321
YOUNGSVILLE,2020,1,1,200000.000000000000,1273.0000000000000000
YOUNGSVILLE,2020,2,1,230000.000000000000,1710.0000000000000000
YOUNGSVILLE,2020,3,4,197125.000000000000,1308.7500000000000000
ZEBULON,2020,1,93,241588.172043010753,2005.9139784946236559
ZEBULON,2020,2,149,241194.328859060403,1945.8859060402684564
ZEBULON,2020,3,140,266279.285714285714,2136.9142857142857143
ZEBULON,2020,4,144,254136.111111111111,2067.7638888888888889
ANGIER,2019,1,2,288000.000000000000,2535.5000000000000000
ANGIER,2019,2,7,262714.285714285714,2388.1428571428571429
ANGIER,2019,3,5,288000.000000000000,3113.2000000000000000
ANGIER,2019,4,1,313000.000000000000,3150.0000000000000000
APEX,2019,1,434,419311.059907834101,2766.8571428571428571
APEX,2019,2,639,415583.843505477308,2715.1439749608763693
APEX,2019,3,603,411409.618573797678,2680.2520729684908789
APEX,2019,4,611,430942.716857610475,2805.2242225859247136
CARY,2019,1,432,421739.583333333333,2642.1087962962962963
CARY,2019,2,657,437586.757990867580,2668.8767123287671233
CARY,2019,3,683,416189.165446559297,2543.3674963396778917
CARY,2019,4,603,419884.742951907131,2568.2786069651741294
CLAYTON,2019,1,2,171250.000000000000,2535.5000000000000000
CLAYTON,2019,2,5,225000.000000000000,1849.4000000000000000
CLAYTON,2019,3,5,221800.000000000000,1568.6000000000000000
CREEDMOOR,2019,3,1,195000.000000000000,1950.0000000000000000
DURHAM,2019,1,3,272833.333333333333,1717.3333333333333333
DURHAM,2019,3,4,315750.000000000000,1920.0000000000000000
DURHAM,2019,4,4,317750.000000000000,1932.7500000000000000
FUQUAY VARINA,2019,1,202,320382.178217821782,2446.8712871287128713
FUQUAY VARINA,2019,2,322,314648.189440993789,2321.1397515527950311
FUQUAY VARINA,2019,3,297,309560.606060606061,2283.6936026936026936
FUQUAY VARINA,2019,4,313,307964.217252396166,2314.1118210862619808
GARNER,2019,1,114,254214.912280701754,2089.2368421052631579
GARNER,2019,2,143,262506.069930069930,2222.0419580419580420
GARNER,2019,3,143,262684.615384615385,2081.7762237762237762
GARNER,2019,4,130,263602.000000000000,2086.0846153846153846
HOLLY SPRINGS,2019,1,181,373438.121546961326,2633.0276243093922652
HOLLY SPRINGS,2019,2,271,391312.616236162362,2717.0479704797047970
HOLLY SPRINGS,2019,3,280,388183.928571428571,2682.3071428571428571
HOLLY SPRINGS,2019,4,287,388331.010452961672,2657.1986062717770035
KNIGHTDALE,2019,1,112,273738.392857142857,2293.3214285714285714
KNIGHTDALE,2019,2,162,261819.012345679012,2153.1543209876543210
KNIGHTDALE,2019,3,169,274136.094674556213,2267.6390532544378698
KNIGHTDALE,2019,4,165,266803.066666666667,2196.6666666666666667
MORRISVILLE,2019,1,53,338858.490566037736,2209.3396226415094340
MORRISVILLE,2019,2,86,351819.767441860465,2319.3139534883720930
MORRISVILLE,2019,3,99,341098.060606060606,2268.4747474747474747
MORRISVILLE,2019,4,99,354510.101010101010,2322.9191919191919192
NEW HILL,2019,1,45,400222.222222222222,2753.3111111111111111
NEW HILL,2019,2,61,381852.459016393443,2579.0655737704918033
NEW HILL,2019,3,65,388992.307692307692,2670.4923076923076923
NEW HILL,2019,4,82,393707.317073170732,2661.6097560975609756
RALEIGH,2019,1,1253,330359.524341580208,2181.6440542697525938
RALEIGH,2019,2,1961,344638.614992350841,2211.3758286588475268
RALEIGH,2019,3,1777,337493.595948227349,2175.3095104108047271
RALEIGH,2019,4,1661,334091.145695364238,2165.8163756773028296
ROLESVILLE,2019,1,36,365555.555555555556,2885.6666666666666667
ROLESVILLE,2019,2,57,338929.824561403509,2615.8070175438596491
ROLESVILLE,2019,3,56,354508.928571428571,2741.8035714285714286
ROLESVILLE,2019,4,59,372576.271186440678,2929.9322033898305085
WAKE FOREST,2019,1,293,355500.682593856655,2601.1228668941979522
WAKE FOREST,2019,2,478,364554.985355648536,2647.1548117154811715
WAKE FOREST,2019,3,445,369094.382022471910,2672.0292134831460674
WAKE FOREST,2019,4,430,383114.186046511628,2656.6139534883720930
WENDELL,2019,1,84,252009.523809523810,1960.7738095238095238
WENDELL,2019,2,142,254642.126760563380,1964.1901408450704225
WENDELL,2019,3,142,249725.352112676056,1948.2957746478873239
WENDELL,2019,4,155,273359.703225806452,2025.2645161290322581
WILLOW SPRING,2019,1,30,275573.333333333333,2219.4666666666666667
WILLOW SPRING,2019,2,51,295911.764705882353,2336.1372549019607843
WILLOW SPRING,2019,3,45,329288.888888888889,2469.4888888888888889
WILLOW SPRING,2019,4,44,299420.454545454545,2254.7045454545454545
YOUNGSVILLE,2019,1,1,198000.000000000000,1664.0000000000000000
YOUNGSVILLE,2019,2,2,250000.000000000000,1932.0000000000000000
YOUNGSVILLE,2019,3,2,195000.000000000000,1237.5000000000000000
YOUNGSVILLE,2019,4,1,171500.000000000000,1218.0000000000000000
ZEBULON,2019,1,56,250098.214285714286,2240.3571428571428571
ZEBULON,2019,2,69,235618.840579710145,2041.4202898550724638
ZEBULON,2019,3,106,256323.207547169811,2231.6132075471698113
ZEBULON,2019,4,112,239067.857142857143,2042.7053571428571429
ANGIER,2018,1,3,290000.000000000000,3037.0000000000000000
ANGIER,2018,2,1,252000.000000000000,2036.0000000000000000
ANGIER,2018,3,1,296500.000000000000,3369.0000000000000000
ANGIER,2018,4,4,278250.000000000000,2849.7500000000000000
APEX,2018,1,339,384159.292035398230,2651.5929203539823009
APEX,2018,2,540,398256.111111111111,2654.8370370370370370
APEX,2018,3,547,407505.667276051188,2710.2340036563071298
APEX,2018,4,510,408645.098039215686,2717.3176470588235294
CARY,2018,1,408,413835.784313725490,2681.2401960784313725
CARY,2018,2,691,410278.581765557164,2624.3024602026049204
CARY,2018,3,624,419286.858974358974,2667.7339743589743590
CARY,2018,4,461,432806.941431670282,2684.5249457700650759
CLAYTON,2018,2,4,204250.000000000000,1855.5000000000000000
CLAYTON,2018,3,4,228375.000000000000,2176.7500000000000000
CLAYTON,2018,4,3,147333.333333333333,2602.6666666666666667
CREEDMOOR,2018,3,1,253500.000000000000,1851.0000000000000000
DURHAM,2018,3,4,288000.000000000000,1770.7500000000000000
FUQUAY VARINA,2018,1,233,286671.244635193133,2283.3390557939914163
FUQUAY VARINA,2018,2,261,304646.934865900383,2283.6513409961685824
FUQUAY VARINA,2018,3,294,304166.666666666667,2323.9013605442176871
FUQUAY VARINA,2018,4,201,303858.208955223881,2359.8159203980099502
GARNER,2018,1,105,221993.333333333333,2009.8285714285714286
GARNER,2018,2,132,240956.060606060606,2093.1212121212121212
GARNER,2018,3,147,258312.244897959184,2221.8231292517006803
GARNER,2018,4,111,250987.387387387387,2091.0450450450450450
HOLLY SPRINGS,2018,1,190,350371.052631578947,2577.5000000000000000
HOLLY SPRINGS,2018,2,288,364465.277777777778,2606.7951388888888889
HOLLY SPRINGS,2018,3,255,365512.156862745098,2614.1215686274509804
HOLLY SPRINGS,2018,4,229,358810.043668122271,2564.7598253275109170
KNIGHTDALE,2018,1,125,256164.000000000000,2314.5760000000000000
KNIGHTDALE,2018,2,142,259555.633802816901,2280.8169014084507042
KNIGHTDALE,2018,3,129,244173.643410852713,2163.7209302325581395
KNIGHTDALE,2018,4,92,261896.739130434783,2206.3369565217391304
MORRISVILLE,2018,1,57,342552.631578947368,2341.9824561403508772
MORRISVILLE,2018,2,135,350748.148148148148,2330.5037037037037037
MORRISVILLE,2018,3,119,344827.731092436975,2272.2184873949579832
MORRISVILLE,2018,4,95,356463.157894736842,2365.1684210526315789
NEW HILL,2018,1,8,457187.500000000000,3303.6250000000000000
NEW HILL,2018,2,13,469692.307692307692,3118.8461538461538462
NEW HILL,2018,3,17,408735.294117647059,2582.5882352941176471
NEW HILL,2018,4,26,455173.076923076923,3091.6153846153846154
RALEIGH,2018,1,1138,318187.609841827768,2231.3848857644991213
RALEIGH,2018,2,1789,344812.475125768586,2290.1106763555058692
RALEIGH,2018,3,1670,330916.047904191617,2231.5706586826347305
RALEIGH,2018,4,1459,332648.115147361206,2243.7422892392049349
ROLESVILLE,2018,1,55,331336.363636363636,2763.3272727272727273
ROLESVILLE,2018,2,58,342525.862068965517,2913.4827586206896552
ROLESVILLE,2018,3,60,332066.666666666667,2731.2833333333333333
ROLESVILLE,2018,4,40,387250.000000000000,3058.6500000000000000
WAKE FOREST,2018,1,268,339822.761194029851,2565.5074626865671642
WAKE FOREST,2018,2,462,360992.428571428571,2690.2640692640692641
WAKE FOREST,2018,3,373,363409.383378016086,2685.6863270777479893
WAKE FOREST,2018,4,318,357469.182389937107,2533.6572327044025157
WENDELL,2018,1,62,256548.387096774194,2138.7741935483870968
WENDELL,2018,2,97,241994.845360824742,1969.0103092783505155
WENDELL,2018,3,117,250476.068376068376,2054.5982905982905983
WENDELL,2018,4,104,240475.961538461538,1938.7019230769230769
WILLOW SPRING,2018,1,23,273934.782608695652,2273.1739130434782609
WILLOW SPRING,2018,2,45,271900.000000000000,2257.6888888888888889
WILLOW SPRING,2018,3,33,268112.121212121212,2247.2424242424242424
WILLOW SPRING,2018,4,24,270875.000000000000,2180.7500000000000000
YOUNGSVILLE,2018,3,2,186500.000000000000,1436.5000000000000000
YOUNGSVILLE,2018,4,2,302500.000000000000,1623.5000000000000000
ZEBULON,2018,1,21,186809.523809523810,1826.8571428571428571
ZEBULON,2018,2,68,238507.352941176471,2154.0882352941176471
ZEBULON,2018,3,70,241966.671428571429,2263.4571428571428571
ZEBULON,2018,4,54,218220.203703703704,2033.1296296296296296
ANGIER,2017,1,8,244125.000000000000,2349.2500000000000000
ANGIER,2017,2,3,188833.333333333333,1497.0000000000000000
ANGIER,2017,3,4,268625.000000000000,2900.5000000000000000
ANGIER,2017,4,1,297500.000000000000,3217.0000000000000000
APEX,2017,1,304,386075.657894736842,2727.6250000000000000
APEX,2017,2,470,389155.531914893617,2668.5127659574468085
APEX,2017,3,428,383925.817757009346,2638.6799065420560748
APEX,2017,4,457,392008.533916849015,2662.5776805251641138
CARY,2017,1,415,388753.975903614458,2605.9759036144578313
CARY,2017,2,635,403494.488188976378,2678.7779527559055118
CARY,2017,3,640,390334.687500000000,2596.5546875000000000
CARY,2017,4,543,403309.392265193370,2668.0128913443830571
CLAYTON,2017,1,1,197500.000000000000,1646.0000000000000000
CLAYTON,2017,2,4,229000.000000000000,2118.0000000000000000
CLAYTON,2017,3,3,180500.000000000000,1542.6666666666666667
CLAYTON,2017,4,2,197500.000000000000,1766.0000000000000000
DURHAM,2017,1,1,280500.000000000000,1736.0000000000000000
DURHAM,2017,2,2,276250.000000000000,1735.0000000000000000
DURHAM,2017,3,1,267500.000000000000,1828.0000000000000000
DURHAM,2017,4,2,277500.000000000000,1705.5000000000000000
FUQUAY VARINA,2017,1,186,277846.774193548387,2337.6827956989247312
FUQUAY VARINA,2017,2,270,287675.925925925926,2348.6407407407407407
FUQUAY VARINA,2017,3,277,278119.133574007220,2276.2382671480144404
FUQUAY VARINA,2017,4,201,280800.995024875622,2306.5223880597014925
GARNER,2017,1,78,217185.897435897436,2171.2820512820512821
GARNER,2017,2,125,226857.600000000000,2099.0560000000000000
GARNER,2017,3,125,221940.000000000000,2055.3760000000000000
GARNER,2017,4,102,221813.725490196078,2097.7254901960784314
HOLLY SPRINGS,2017,1,168,333890.476190476190,2567.3333333333333333
HOLLY SPRINGS,2017,2,271,361869.003690036900,2626.4243542435424354
HOLLY SPRINGS,2017,3,258,383722.480620155039,2783.8759689922480620
HOLLY SPRINGS,2017,4,213,367847.417840375587,2662.1596244131455399
KNIGHTDALE,2017,1,121,229276.859504132231,2210.8099173553719008
KNIGHTDALE,2017,2,155,242045.548387096774,2249.6580645161290323
KNIGHTDALE,2017,3,148,234530.405405405405,2161.2972972972972973
KNIGHTDALE,2017,4,159,258154.088050314465,2359.3396226415094340
