REAL_ESTATE_ID,Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
61189,17,0.54,178000,1965,2876,A,D,A,RALEIGH,27604.0,1999,7,3
61191,17,0.48,148000,1987,2179,A,D,B,RALEIGH,27604.0,1997,3,1
61193,17,0.5,137000,1990,2432,A,E,C,RALEIGH,27604.0,1997,3,1
61198,17,2.51,212000,1965,4704,A,J,J,RALEIGH,27604.0,1992,12,4
61210,12,0.35,100000,1958,1350,A,B,A,FUQUAY VARINA,27526.0,1998,2,1
61222,7,0.47,215000,1964,2190,I,D,A,RALEIGH,27612.0,1998,10,4
61245,10,0.27,86000,1951,1093,A,C,A,WENDELL,27591.0,1998,4,2
61270,7,0.28,132000,1969,1568,A,C,A,RALEIGH,27609.0,1996,11,4
61280,4,0.62,172500,1965,2116,G,C,A,RALEIGH,27607.0,1997,7,3
61292,13,0.3,162500,1968,2429,A,D,C,RALEIGH,27609.0,1994,6,2
61316,1,0.17,66500,1951,1188,A,C,A,RALEIGH,27604.0,1993,9,3
61322,1,0.25,96000,1965,1460,A,C,A,RALEIGH,27609.0,1996,6,2
61329,1,0.55,360000,1935,5779,A,F,C,RALEIGH,27608.0,1995,12,4
61332,14,31.89,665000,1991,2643,A,J,B,CREEDMOOR,27522.0,1996,9,3
61352,9,0.46,110000,1956,1691,G,B,A,ZEBULON,27597.0,1997,10,4
61353,1,0.37,355000,1918,6658,A,F,C,RALEIGH,27608.0,1994,6,2
61355,17,0.5,89000,1959,1300,G,C,A,RALEIGH,27616.0,1994,7,3
61359,1,0.42,105000,1954,1296,A,A,A,RALEIGH,27610.0,1999,6,2
61371,1,0.08,181000,1876,2673,A,D,C,RALEIGH,27601.0,1990,4,2
61387,17,1.13,82000,1963,1492,A,B,A,RALEIGH,27604.0,1992,6,2
61399,17,0.59,80000,1940,1850,A,B,A,KNIGHTDALE,27545.0,1996,6,2
61462,16,0.28,58000,1960,832,A,A,A,GARNER,27529.0,1994,2,1
61465,1,0.15,20000,1945,1430,A,A,A,RALEIGH,27601.0,1995,9,3
61473,4,0.32,144500,1972,1904,I,D,A,CARY,27511.0,1995,12,4
61474,4,0.34,143000,1973,1904,I,D,A,CARY,27511.0,1996,1,1
61475,4,0.39,122000,1972,1940,I,D,A,CARY,27511.0,1994,5,2
61533,1,0.64,103500,1979,1706,G,E,A,RALEIGH,27603.0,1995,2,1
61540,17,0.59,60000,1958,1064,A,A,A,RALEIGH,27610.0,1999,5,2
61622,1,0.31,150000,1939,1924,A,C,K,RALEIGH,27608.0,1995,6,2
61628,1,0.53,172000,1951,2423,A,E,A,RALEIGH,27607.0,1992,11,4
61634,1,0.31,90000,1960,1770,A,C,A,RALEIGH,27606.0,1992,6,2
